name,description
ChatRandom,"ChatRandom is a new Chatroulette Alternative with many more features.  Chatrandom differentiates itself from Chatroulette by providing users many video chat choices including multichat, girls chat, gay chat and chat rooms. "
ScapadasAmorosas,"ScapadasAmorosas.com es el primer sitio de citas en linea para mujeres casadas que buscan relaciones ocasionales discretas y hombres casados que buscan encuentros discretos.  En Scapadas Amorosas se reunen las los hombres casados,  hombres solteros, mujeres casadas personales y asuntos extramatrimoniales."
dimension5 labs,"dimension5 labs is a full service digital advertising agency focusing on building virtual worlds and web 2.0 software applications and helping others take advantage of the opportunities provided by the latest technology.

dimension5 provides graphic design, video and audio production, web production, programming, and marketing departments that work together to provide powerful solutions for clients.

The company also does in house projects, most notably the new virtual VirtualFamilyKingdom."
FriendFeed,"[FriendFeed](http://www.friendfeed.com) aims to be a one stop shop for all your social networking updates and news items.  The four founders were all team members at [Google](/company/google) and helped to launch such products as [Google Maps](/product/google-maps), [Adsense](/product/google-adsense), [GMail](/product/gmail) and [Google Groups](/product/google-groups).  They've brought their expertise to a slightly different area: social network aggregating.

FriendFeed is a service which, instead of layering a meta-network on top of all your other social networks, will create a news feed incorporating them all much like the [Facebook](/company/facebook) news feed.  

Users tell the feed which networks they belong to (Facebook, [Digg](/company/digg), [Last.fm](/company/last-fm) etc) and FriendFeed personalizes a data feed with info from each of the sites.

The company was [acquired by Facebook](http://www.techcrunch.com/2009/08/10/facebook-acquires-friendfeed) in August 2009."
Whooligan,"Whooligan is a new global soccer lifestyle brand created by social media. 

Whooligan uses the slogan ""Who's your side"" in an attempt to exploit global soccer rivalries and cultural identity. The Whooligan.com site is an interconnected network of forums, videos, photos, and special brand content. The company uses the site as a marketing vehicle for the brand to sell merchandise offline. They call their online/offline approach the Web 2.0. The site was launched in public beta in December 2008. 

Whooligan was started by two brothers dedicated to providing soccer fans from every walk of life a chance to support their side against rivals. Whooligan users will be able to build their own brand, effectively turning the traditional roles of the producer and consumer in the marketplace upside down."
PoetryVisualized.com,"Visual poetry, is poetry or art in which the visual arrangement of text, images and symbols is important in conveying the intended effect of the work. It is sometimes referred to as concrete poetry, a term that predates visual poetry, and at one time was synonymous with it. Wikiepedia.org.

PoetryVisualized.com intends to capitalize on the growing popularity of the poetry slam phenomenon as well as the general public's increasing interest in online video streaming, while addressing the public's desire for higher quality works of art in contrast to the great mass of unfiltered content made available from amateur contributors.

Phase one shall provide the public with the ability to upload and share visual poetry clips and to take part in the online community features offered by the PoetryVisualized.com website. Phase Two, to be launched shortly, shall provide advanced collaboration, creation and distribution features and tools and shall be combined with income sharing tools for site contributors. The patent pending ORCES technology shall, in part, support PoetryVisualized.com's efforts to be the leader in the arts community and online video applications.

Attorney Rod Underhill represents PoetryVisualized.com: a cofounder of MP3.com and the futurist who helped engineer their 6.9 billion dollar public offering."
moviestring.com,"moviestring.com provides a place for user to create mini movie reviews, follow their friends reviews and create a list of the movies they love. with several ways to access your reviews, including web, email, iphone app or fully API, moviestring.com provides users easy access to their entire review catalog."
The Adory,
Mobclix,"Mobclix (www.mobclix.com) is the industry's largest mobile ad exchange network via its sophisticated open marketplace platform and comprehensive account management solution for iPhone application developers, advertisers, ad networks, and agencies. The Mobclix ad exchange provides complete transparency and visibility for developers to maximize revenues and advertisers to increase performance.

KEY BENEFITS FOR DEVELOPERS: 
-Highest eCPMs 
-Trouble-free management
-Size advantage
-Increase scale
-Improve performance

KEY BENEFITS FOR ADVERTISERS
-Precise targeting 
-Sophisticated bidding platform 
-Instant Mobile Reach 
-Create interactive campaigns

APPLICATION PLATFORM
Mobclix is a complete mobile application platform focused on: 
-Real-time application analytics that give you business insights into your application
-Yield optimization and rich media advertising
-Distribution and viral growth through social media

Mobclix is an ad exchange provider for [iPhone](/product/iphone) apps. Mobclix targets users based on location and the type of app to maximize the money that iPhone developers can make.
"
Fitbit,"Fitbit inspires people to exercise more, eat better and live
healthier lifestyles. 

The company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance.

The Fitbit Tracker collects activity data automatically while it is
worn by the user all day. The collected data is wirelessly uploaded to
a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and
co-workers. At the website, users can also manually log nutrition,
weight and other health information in order to gain a complete
picture of their health.

Fitbit makes it easy to achieve a healthy lifestyle by automating the
collection of health data and providing a motivating and entertaining
user interface."
MTPV,MTPV Corporation is a clean energy company focus on innovations in Micron-gap ThermalPhotoVoltaics technology (MTPV). MTPV technology has been developed over the past 15 years beginning at MIT and Draper Laboratory and for the last 5 years in the labs of MTPV Corporation.
Camcorder-batteries.us,"Wholesale/retail Camcorder batteries, digital camera batteries and multi battery charger for digital camera camcorder battery distributor. High quality, low price, cheap, rechargeable camcorder batteries and battery charger. Full 1 year warranty and 30 days money back!"
Paydirt,"Paydirt produces online time tracking and invoicing software for freelancers and small businesses.

Paydirt is focused on providing automated time tracking for browser-based freelancers. Chrome and Firefox addons are available for Paydirt which intelligently determine whether you are working for a client and provide a prompt to start tracking time for them."
Wreally,"Wreally is an independent web application development studio specializing in elegant UI design and the real-time web. 

Wreally's portfolio includes:

1. Scribble - A dead-simple note-taking app on the Chrome WebStore
2. Pixza - A really real-time browser-based social strategy game. Pixza is among the few browser-based multi-player games that work on Apple's iPad.
3. Frelay - A QR-code-based mobile-survey platform for small businesses."
Demandbase,"Demandbase is the first targeting and personalization platform for B2B, transforming the effectiveness of marketing programs and marketing"
AirSpeed,"AirSpeed makes it easy to copy Emails, Contacts and Appointments from Google (Gmail and Google Apps) to Salesforce.

FREE 14-day trial. No credit card required.

 - Move emails, contacts and appointments from Google to Salesforce in a single click.

 - Design lets you continue using Gmail side bar plug-ins you love, like Rapportive

 - Team Edition lets Salesforce administrators centrally manage users and billing.

Works with Chrome, Firefox and Safari, and all editions of Salesforce. Contact us for Internet Explorer availability."
Locatrix Communications,Locatrix Communications is one of Australia
Threebrix E-services Pvt Ltd,
Diditz,"Diditz is a social media website where you can get popular by sharing your did-its: the coolest experiences and achievements of your life, and discover the incredible experiences of people from around the globe on topics that you are passionate about.  

So far, the only way to participate and interact with people sharing similar interests was through online groups, forums and communities. Someone having different interests has to manage different accounts, across different social networks, and more often than not, many such communities are segregated and require active participation for your content to be visible. 

The purpose of diditz is threefold: (1) To provide a simple interface where users can publish their own experiences and discover a community based on their interests and locations, without the hassle of joining different groups or forums. (2) Giving an opportunity for an average blogger to decide their audience, interact with them and get regular traffic for their best content, even if they publish it infrequently. (3) Create a collection of people's experiences for the most happening things around the world.	

Diditz can be browsed without signing up for an account, however having an account gives access to more content, networking options and ability to publish your own content."
The Lions Group,
Betts Recruiting,"Betts Recruiting is a boutique recruiting firm that partners with the most innovative and rapidly growing Bay Area start-ups to build out their sales and marketing teams. The companies represented by Betts Recruiting signify the top bootstrapped, VC and Angel-backed startups in Silicon Valley, including a selection of the Wall Street Journalﾂ痴 Top 50 Venture-Backed Companies of 2011.

They recruit top-notch talent in roles ranging from junior level to VP, in areas that include SaaS, software sales, online media sales, account management, client services, inside sales, outside sales, and entry level sales. At Betts, they understand that you are looking to hire A-Players to generate revenue and maintain your client base, so as a manager you and your company can achieve your goals. As a boutique agency, Betts Recruiting offers a customized approach to each search, ensuring you find the best candidate for each position you are looking to fill.

Since Carolyn Betts founded Betts Recruiting in late 2009, the recruiting agency has expanded its staff tremendously to serve over sixty SaaS and online media clients in San Francisco and nation-wide. 
"
Fundable.com,"Fundable is a crowdfunding site for startups.

Fundable's platform takes advantage of the new JOBS Act, also known as the ""Crowdfunding Bill,"" which now allows startup companies to publicly raise money from anyone willing to back them. In addition, Fundable makes investing more accessible, providing two ways for backers to support companies"
iHireHelp,"iHireHelp is a website that connects students and clients who want to learn and seek help from people (tutors, instructors, coaches, trainers..) and companies (learning centers, businesses..) who can offer help.

A key goal for iHireHelp is to help its user community find a best person or a company who can help them with their needs.

This site is absolutely free for clients who are seeking help and people / businesses who are offering help.

People and businesses that offer help on iHireHelp will get a free personal website that that they can customize to promote their own personal brand. The site also provided them with powerful tools that will help them easily manage their student, collect reviews and accept payments from clients.

iHireHelp provides great transparency to students and clients by offering them clear information about the helpers including client reviews, teacher recommendations, pricing information, location, teacher qualifications, their connection and much more.

iHireHelp has a social network of clients, students, tutors, instructors, coaches, trainers learning centers, businesses etc and allows everyone to link and connect to find new partners who have similar interests and goals. This network also allows people and businesses to exchange helpful resources related to any subject or service offered on this website.
"
LeapRE,"LEAP Real Estate Systems, is an innovative Chicago-based technology company specializing in powerful solutions for top performing real estate agents and brokerages.  Products and services include: LeapRE"
Your Online Business,"We provide an integrated approach to search friendly web design, search engine optimisation (SEO), and pay per click (PPC) management."
Mobile Monday Pasadena,"Mobile Monday Pasadena (MoMo Pasadena) is a monthly networking event and open community platform to explore the intersections of mobility and technology.

Through the gathering of mobile industry visionaries, developers, and influential individuals Mobile Monday holds monthly networking events to share ideas, demo products, and discuss trends from both local and global markets. Originating in Helsinki Finland, in 2000, events are organized by some 300 dedicated volunteers from around the world and it has become an industry leading mobile platform. Chapters have held events in over 100 cities worldwide and continue to launch new locations monthly.

About Mobile Monday Pasadena

Mobile Monday Pasadena (MoMo Pasadena) was started in June 2011 by Eli Calder"
Cardiosolutions,"Cardiosolutions was founded in 2006 by STD Med, Inc., a leading medical device manufacturer, in order to develop less invasive alternatives to open surgical procedures addressing the mitral valve of the heart."
Floatopian,"Floatopian is a developer of applications for the iPhone.  Quiztunes, the flagship application of Floatopian, is a game where the user hears a 20 second song clip and then must select the correct choice from a list of four similar artists.  "
DeepFlex,"DeepFlex, Inc., a Houston-based manufacturer of all-composite flexible pipe used in subsea oil and gas production environments."
NationWide Auto Lending,"Nationwide Auto Lending is the name you can rely upon when it comes to auto loans. Enjoy the privilege of owning your dream car with speedy and hassle free online auto financing coordinated at Nationwide Auto Lending. We specialize in bad credit auto loans and bad credit auto financing in all 50 states with our local approval centers for auto loans.

Nationwide Auto Lending specializes in arranging fast and cheap auto loans as well as car loans for the residents of U.S. Our goal is to help people with bad credit, poor credit and bankruptcy find the affordable financing. We offer bad credit auto loans, auto financing after bankruptcy at the most competive rates and terms anywhere.."
Blend Biosciences,Blend Biosciences Inc A Stealthy Waltham startup.
Wevod,"Wevod is a french company, based in Paris, that provides B2B online video plateform to simplify WebTV management.

In november 2006, Wevod launch a public video-mail portal : www.mailemotion.tv

Mailemotion is a free service made for everyone to send videos via email. Mailemotion is accessible form anywhere on the internet at the address : www.mailemotion.tv. It does not require any software installation and is compatible on all existing platforms. Simple and intuitive, the video could be either taken from from a webcam (or any kind of video device such as a mobile phone), or from a file already stored on the user's computer (any kind of video type as it will be converted).

Mailemotion is also provided in white-branded platform."
Coastal Supply Company,
Limelight,"Limelight provides a subscription service that allows app developers to creating app marketing sites or app landing pages. Main features include scraping existing descriptions and screenshots from the app store, multiple site templates, various layouts for different devices, send-to-phone links via SMS, varying product shot configurations, analytics, and third-party integrations."
GazoPa,"GazoPa is an image search engine by Hitachi that uses features from an image to search for and identify similar images. There are abundant quantities of images on the web, however many of these simply cannot be described by keywords, keywords are not sufficient as conditions for image searches. Since GazoPa uses image features such as a color or a shape to search other similar images, a vast range of images can be retrieved from the web. In addition to images found using keyword searches, GazoPa enables the use of users' own photos and drawings, and images found on the web, as search keys to locate similar images. GazoPa can support not only photo but also the search of video thumbnail. GazoPa lets users find favorite video from similarity of video thumbnail."
Balance Financial,Balance is an enterprise social software platform to help personal finance professionals collaborate and engage with their clients to more efficiently manage financial tasks.  
NewMarCom,NewMarCom provides strategic and marketing advise for online businesses. NewMarCom also has several independent business initiatives. NewMarCom's USP is technological knowledge and market intelligence and marketing know-how. This results in a more dynamic approach and creative solutions. 
ShopCastTV,"ShopCastTV (SCTV) brings the TV shopping experience of QVC and HSN to the web via mobile devices like Apple's iPod and iPhone.

Unlike QVC or HSN they do not sell goods themselves but instead partner with 3rd party retailers in order to drive new customers to their vendors via a custom VOD service.

As the first truly interactive TV shopping network on Apple's iTunes their proprietary '1 tap' ordering system is unique in allowing consumers to purchase items at any time during a TV show by simply touching the TV screen.


"
Wikinvest,"Wikinvest is just as it sounds; a wiki for investing.  The company seeks to take advantage of the large numbers of investors and investing savvy people who are looking to the web to get better trading tips.  Like most wikis, Wikinvest will face a few problems including spammed/tampered entries, lack of incentive to create content and the dubious authority of users generating content.  These problems exist for Wikipedia as well, yet Wikipedia continues to have as high an accuracy rating as Enyclopedia Britannica while generating millions more pages.  Wikinvest hopes to capture a similar [""prosumer""](http://en.wikipedia.org/wiki/Prosumer) audience for the investing niche.   

Wikinvest is meant to be a research portal where anyone can contribute information on company profiles, investment concepts, or chart analysis. The site is a competitor with financial profiles and news listed on Yahoo and Google Finance, as well as Wikia's investment portal and company profiles on Wikipedia.

Wikinvest faces the stiffest competition from the financial sites themselves, which offer real time news along with their professionally edited content. Wikinvest, however, has a wikis advantage of nimbleness, by quickly adjusting to new trends and interlinking across concepts.

Other competitors involved in p2p investing include, [Vestopia](http://crunchbase.com/company/vestopia), [Stockpickr](http://chttp://www.stockpickr.com/), [People And Picks](http://www.peopleandpicks.com) and [Cake Financial](http://crunchbase.com/company/cakefinancial), a [TechCrunch40 Company](http://www.techcrunch40.com/2007)"
Minds,"MINDS (MINDS.ORG, INC.) is a Universal Network & Social Broadcasting Source where everyone votes on company evolution and has a featured voice.  We seek to link and stream live every person, business and nation on Earth and beyond online & offline.

Elements

Social-Business Network
Live Interactive Video Broadcasting Client
Video Conferencing, Recording & Streaming
Peer To Peer File Storage & Sharing
Web & Downloadable Apps
Intelligent Internet Search
E-Mail & Video Chat, IM
Events & Tickets
Location (GPS)
Cloud Hosting
Translations
Sharing
Voting
Advertise
Shopping
Mobile
"
RIO Brands,"RIO Brands LLC, a Conshohocken, PA-based is a leading supplier of a full line of outdoor furniture and other related accessories used for the beach, backyard, patio, parks and other outdoor venues."
Solectria Renewables,"Solectria Renewables, LLC is the leading U.S. based grid-tied PV inverter, string combiner and web-based monitoring manufacturer for residential, commercial and utility-scale solar projects. Our wide range of products includes 1.8kW to 500kW grid-tied inverters for systems 1kW to multi-MWs. Solectria Renewables is backed by over 20 years of power electronics and inverter experience and world class warranties. All of our commercial and utility-scale PV inverters are manufactured in the USA, ARRA compliant, Ontario FIT Content Compliant, and listed to UL 1741/IEEE 1547."
Kumar Pustak Mall Private Limited,Pustak.co.in is an online bookstore in India that carries a title-base of over 12 million. Exclusive tie-ups with multiple vendors in the US and UK allow it to offer free International Shipping into India.
IT EYE Magazine,"Published by IT Evolution, IT EYE Magazine is a monthly magazine specialized in Information and Communication Technology (ICT) and serving Egypt's ICT community.

For over two years, IT EYE has had its finger on the pulse of the ICT industry and has become an integral part of the fabric of the Egyptian ICT community. 

With a readership of over 7,000, IT EYE magazine is delivered to the top IT companies, fast growing SMEs, as well as leading multinationals and companies in other sectors."
G2 Web Services,"G2 Web Services, LLC is the recognized leader in merchant compliance monitoring and e-commerce risk management. G2 works globally with acquiring banks, independent sales organizations (ISOs), payment service providers (PSPs) and other acquiring value chain members to identify, mitigate and monitor risk posed by their merchantsﾂ・online presences.

By monitoring millions of merchant websites worldwide and collecting billions of data artifacts, G2 Web Services has built the industryﾂ痴 largest e-commerce relationship map that provides a comprehensive and global view of e-commerce across the entire industry. From analyzing the risk involved with boarding a new merchant, to the regular review of website content for compliance violations, to third-party and account data compromise (ADC) risk mitigation, G2 provides a comprehensive set of tools and services to effectively manage acquiring organizationsﾂ・risk throughout the merchant lifecycle.

G2 Web Services continues to be run by its three original founders and talented management team. G2 is headquartered in Bellevue, WA, USA.  The partnership with Primus represents the companyﾂ痴 first external investment. "
oooooc.com,"OOOOOC.com Marketplace is ""A New eBay for Contents and Services""

OOOOOC.com Marketplace has moved to public beta. Helps its members sell any digital contents, such as files, secrets, tips, texts, documents, photos, audio, videos, urls, art, consultation sessions and services, treatments, ideas, legal forms, software, codes and songs.

oooooc.com, an Israeli-developed website, provides a marketplace for contents and services. The site offers a user-friendly, intuitive platform, with simple means to trade, affiliate and ask for digital goods, as well as interact with colleagues.

OOOOOC.com offers a solution for experts and authors around the globe, to promote themselves as paid professionals on any topic. By opening a free account, one can get a designed branded online shop, with virtual products, within a short time after registration.

The service enables users to ask for information or assistance from professionals and experts, or put their digital content into paid URLs (or ""lockers""), add a price-tag and offer it to the public as digital products. It allows one to share and embed widgets on other websites, thus bring thousands of customers, as well as to promote within the marketplace. A locker can then be accessed by whomever the URLs are shared with, after payment or watching ads.

""We believe in our vision to offer a new kind of eBay, for people who must sell contents and services,"" says founder Dr. Nadav Dafni.

Yossi Shalom, co-founder, admits ""With these easy means to monetize your know-how and expertise, new professionals and artists will invest more time and efforts on the Net.""

The website targeted for owners of online files on storage services such as divshare.com and box.net, for experts, artists, information technologists, business owners, creators, bloggers and Gurus.

On the public beta period, oooooc.com will use virtual money.

oooooc.com is a self-funded venture by a group of IT professionals who believe in giving new platforms for e-commerce. It is aimed at fulfilling the need of surfers to get help and information, and allowing experts to sell their expertise free of cost.

Media Contacts:
Dr. Nadav Dafni
OOOOOC.com
Tel. 972.50.20.22.101
nadav @ oooooc.com

Background Information - About the Team:
===============================
Dr. Nadav Dafni, also developed ""Stips"", Israel's number 1 experts website, the Hypeshow.com - video search engine and the Ckuik.com - video aggregator, musixcool.com and other Israeli web services and applications.

Yossi Shalom, is also CTO on ""Hook"", an Israeli social network."
Tioti,"TIOTI.com (Tape it Off The Internet) provides links to a online TV services such as Apple, Amazon, AOL and Joost, amongst others, indexing over 75,000 TV shows and more than 500,000 episodes. You can't download the shows from Tioti - it just points to the relevant sources. Thus it is attempting to avoid the legal problems which have dogged other 'download' sites. TIOTI wraps all these feeds in social tools, allowing users to recommend shows to friends, to discuss and see what their friends are watching. Think Facebook meets TV on-demand."
Beaupre Public Relations,"We were founded in 1983 by Karen & Andy Beaupre who are both still active in the business, every day of the week.    

Our first 15 years were phenomenally exciting. We were focused on delivering strategic endgame results for a wide variety of technology companies. This included dozens of startups as well as bigger tech brands like Sun Microsystems, Cognos, Ingram Micro, Legent, Oracle, PictureTel and Lucent.

From 1992 through 1998, Beaupre was spotlighted annually as one of the top high tech PR agencies in America. In 1999, Beaupre was acquired by Brodeur and Omnicom Group (NYSE: OMC), the most successful communications holding company in the world. This $10.5 billion corporation embraces a very selective M&A model and consistently leads the marketing business in every financial and operational measure.  Brodeur and Omnicom have made Beaupre a better company by broadening our relationships, services, knowledge and capabilities around the globe.

Here's the amazing part. Since being acquired, we've retained our entire management team, our brand, culture and our founding business model. We're proud of the fact that Beaupre people average nine years employment with our company; many have been with us much longer. We're equally proud of the success our clients have achieved, including more than 30 Beaupre clients acquired in major M&A deals exceeding $12 billion.

We exist to get our clients where they need to go. That's our story.
"
Student Teacher Exchange,"StudentTeacherExchange.com is a forum based website where students and (home)teachers from any and all languages/countries can meet. 

Teachers can present themselves for acceptation of students for online language learning for free. Online tools are provided for both parties."
Me-trics,"Me-trics allows users to collect, analyze, and share data generated from their everyday activities, or by answering questions they create."
OMS SafeHarbor,OMS SafeHarbor provides software and services to enable the electronic delivery of software and software licenses.
Amantel,"Amantel.com is a young, dynamic and growing company; aiming to reshape the way phone cards and calling cards delivered to customers. It was established in 2002 with the goal of developing secure and efficient business models that would allow customers to get the best communication services available on the internet without spending significant amount of time searching for alternative products and to make purchases instantly and securely. It is managed by a team of highly qualified and experienced executives in processing of retail marketing, payments, networking telecommunications as well as switch facilities. Amantel provides premium quality pre-paid phone cards with best international and domestic rates online 24 hours a day 7 days a week. 


Amantel prepaid phone cards to call long distance calling from USA, Canada and Australia. Low cost international cell phone calling cards to call India,  Pakistan,  Sri Lanka,  Bangladesh and Nepal call from your home phone, your cell phone or any other phone.

Lowest and cheapest price international calling cards to call India, Pakistan, Sri Lanka, Bangladesh, Nepal, Nigeria, Kenya, Liberia, Senegal, Uganda, Ethiopia, Cameroon, Ghana, Guyana, Iran, Russia, Egyp and Afghanistan from USA and Canada."
GigJunkie,"GigJunkie is an website dedicated to gigs and the promotion of live music.

The two main aims of the site are:

* Creating definitive and independent gig listings
* Building a network of live music fans sharing their gig experiences

Definitive gig listings are achieved by pulling concert listings from all available sources in to one listing on GigJunkie. Through our own technology, and where necessary manual data entry, data is gathered from ticket agents (See, Ticketmaster, TicketWeb etc.), promoters (Live Nation, SJM, Metropolis etc.), major labels (EMI, Universal, Sony etc.) and other sources (local listings, MySpace, Facebook etc.). GigJunkie also lets users (fans/bands/promoters/venues) add gigs to the listings to promote them for free. This enables the live music fan to stay up to date on what's on.

The networking side of GigJunkie helps users build a profile of the bands they love and venues they often go to. GigJunkie can then automatically alert them by email and SMS as gigs are added so they don't miss out on anything. Users can buy tickets through GigJunkie at the same price as going direct to existing agents but without the hassle of searching all the different listing sites. Users can connect with fellow GigJunkies, invite each other to gigs, keep a diary of gigs they go to, post photos, write reviews and rate bands/venues etc. GigJunkie also gives users the chance to win loads of gig and festival tickets. GigJunkie's development is ongoing and there is lots more features coming to engage and entertain the users.

GigJunkie is target marketed to avid live music fans through street work and sponsorship presence at gigs and festivals, online activity and CPC advertising across a range of sites such as Google, MySpace, and Facebook etc. and affiliate marketing with carefully selected complimentary partners."
INNCOM,"INNCOM develops and markets integrated room automation systems to the global lodging industry. INNCOM is the acknowledged worldwide leader in this rapidly growing market. Since 1986, our systems have been installed in more than 500,000 hotel rooms. High-profile sites include St. Regis in New York, Grand Hotel Wien in Vienna, Raffles L'Ermitage in Beverly Hills, Caesars Palace in Las Vegas, Gaylord Opryland in Nashville, Alvear Palace in Buenos Aires, Maksoud Plaza in Sao Paulo, "
Glacier Computer,"Glacier Computer, an industrial computer distributor and designer of industrial PC computer systems for environments that require durability and ease of use.

Industrial Computers
Rugged Laptops
Forklift Computers
Tablet Computers
Rugged Tablet Computers
Handheld Computers "
"Datapro Services International Co, Ltd.","Datapro Services International Co, Ltd based in Bangkok, Thailand manage several online properties including FeedZa, Juice Mag and a web development center."
Jumptap,"Jumptap is a mobile ad network and the leader in targeted mobile advertising. 

Reaching 107 million mobile users in the U.S. and 156 million mobile users worldwide, Jumptap uses its extensive technology portfolio, as well as industry-first partnerships with third-party data providers, to understand mobile audiences better than any other ad network and provide intelligent targeting with scale. 

Through its large network of premium publishers and apps, and constant campaign optimization, Jumptap delivers the best ROI for advertisers and highest yield for publishers and developers. Jumptap has pioneered mobile advertising privacy standards and is committed to unlocking mobile opportunities for all parties through its ongoing industry research, such as its Understanding Mobile Audience series and monthly MobileSTAT reports. "
exchangeP,"exchangeP is a fantasy stock market for betting on the future success (or failure) of private companies.  Registration is free and monthly cash prizes are awarded to the top traders.  

exchangeP uses the wisdom of crowds to provide real-time consensus valuations of the hottest, most debated, private companies.  How much is that company really worth?  Let the market decide."
Testbericht.de,"Testbericht.de is one of the biggest review website in Germany, located in Wiesbaden. You will find more the 70.000 reviews and more than 300.000 opinions from User."
cosinity,
Datum,
Shooting People,"Shooting People is a online community of 37,000+ filmmakers who share their resources, skills and experience. 

A catalyst for change, growth and innovation, Shooting People helps its members get their films funded, made and seen.

Members post to and receive up to eight daily email bulletins, which cover all aspects of filmmaking; add their events and screenings to the Indie Film calendars; and network with other members at parties, salons and screenings in London, New York and beyond; create dynamic, online searchable profile cards; and upload their films and reels to the site."
Youlicit,"The Youlicit web content recommendation engine leverages the wisdom of the crowds to return the most recommended sites related to a website or topic. To use Youlicit, simply install a plug-in with the Youlicit buttons on your Firefox browser. These buttons light up, while you surf, and by clicking on them, you instantly get highly relevant recommendations, without searching. It also allows you to discover the web via personalized recommendations based on your interests and find other users interested in the same topics as you."
PDG+creative,
Jogabo,"Jogabo is a location aware soccer platform that allows users to organize games, share their plans and discover opportunities to play in their area. Their aim is to make amateur soccer ""bonito"" by connecting soccer enthusiasts, facilitating the organization of games and adding a layer of fun and competitiveness to the beautiful game."
Workstir,"Workstir connects consumers seeking local service providers to contractors, freelancers and other local resources through searchable service requests that make it easy for these providers to discover potential new business."
